OGLE-GD-ECL-00058  CAR116.8   2089 nonEC   10:35:21.68 -63:00:55.3                                     
OGLE-GD-ECL-00059  CAR116.5  34847 EC      10:35:21.95 -62:27:59.4                                     
OGLE-GD-ECL-00060  CAR116.6  29864 nonEC   10:35:22.73 -62:37:05.0                                     
OGLE-GD-ECL-00061  CAR116.5   3845 nonEC   10:35:26.41 -62:34:46.9                                     
OGLE-GD-ECL-00062  CAR116.5  25803 EC      10:35:26.66 -62:29:23.2                                     
OGLE-GD-ECL-00063  CAR116.5  36263 EC      10:35:26.80 -62:28:17.8                                     
OGLE-GD-ECL-00064  CAR116.7  20740 EC      10:35:28.89 -62:47:35.5                                     
OGLE-GD-ECL-00065  CAR116.7  11589 EC      10:35:31.27 -62:51:04.3                                     
OGLE-GD-ECL-00066  CAR116.8  28609 nonEC   10:35:32.23 -62:54:41.2                                     
OGLE-GD-ECL-00067  CAR116.8  28610 nonEC   10:35:33.11 -62:54:44.8                                     
OGLE-GD-ECL-00068  CAR116.6   3161 nonEC   10:35:34.57 -62:43:42.5                                     
OGLE-GD-ECL-00069  CAR116.7  28783 EC      10:35:34.81 -62:45:51.4                                     
OGLE-GD-ECL-00070  CAR116.7   3500 EC      10:35:35.70 -62:53:33.6                                     
OGLE-GD-ECL-00071  CAR116.5  36017 EC      10:35:38.48 -62:26:52.4                                     
OGLE-GD-ECL-00072  CAR116.7  11867 nonEC   10:35:38.85 -62:51:41.3                                     
OGLE-GD-ECL-00073  CAR116.8   3116 nonEC   10:35:39.94 -63:00:57.8                                     
OGLE-GD-ECL-00074  CAR116.6  21277 EC      10:35:40.12 -62:38:29.7                                     
OGLE-GD-ECL-00075  CAR116.7  20897 nonEC   10:35:40.45 -62:48:35.9                                     
OGLE-GD-ECL-00076  CAR116.7   3111 nonEC   10:35:41.26 -62:51:54.1                                     
OGLE-GD-ECL-00077  CAR116.6  21451 EC      10:35:43.07 -62:39:30.9                                     
OGLE-GD-ECL-00078  CAR116.8  29619 nonEC   10:35:44.27 -62:54:42.5                                     
OGLE-GD-ECL-00079  CAR116.7  13038 EC      10:35:44.99 -62:49:53.5                                     
OGLE-GD-ECL-00080  CAR116.5   5061 EC      10:35:45.50 -62:34:47.6                                     
OGLE-GD-ECL-00081  CAR116.7  12869 nonEC   10:35:47.14 -62:49:46.8                                     
OGLE-GD-ECL-00082  CAR116.8  12647 nonEC   10:35:47.24 -62:58:36.5                                     
OGLE-GD-ECL-00083  CAR116.7  13072 EC      10:35:47.75 -62:50:53.3                                     
OGLE-GD-ECL-00084  CAR116.6  22504 EC      10:35:49.37 -62:39:35.7                                     
OGLE-GD-ECL-00085  CAR116.7  29748 EC      10:35:50.13 -62:45:53.8                                     
OGLE-GD-ECL-00086  CAR116.8  30000 EC      10:35:50.14 -62:55:46.3                                     
OGLE-GD-ECL-00087  CAR116.8  21554 nonEC   10:35:50.76 -62:57:18.4                                     
OGLE-GD-ECL-00088  CAR116.8  29694 nonEC   10:35:51.48 -62:55:50.7                                     
OGLE-GD-ECL-00089  CAR118.7  16017 EC      10:35:52.46 -63:23:04.3                                     
OGLE-GD-ECL-00090  CAR116.7  21747 EC      10:35:52.69 -62:49:10.1                                     
OGLE-GD-ECL-00091  CAR116.7  21749 EC      10:35:53.13 -62:48:46.1                                     
OGLE-GD-ECL-00092  CAR116.7  21628 EC      10:35:53.20 -62:47:43.8                                     
OGLE-GD-ECL-00093  CAR116.6  22412 EC      10:35:53.92 -62:38:01.4                                     
OGLE-GD-ECL-00094  CAR118.5   8094 EC      10:35:54.52 -63:07:06.3                                     
OGLE-GD-ECL-00095  CAR116.7   4214 EC      10:35:54.59 -62:52:18.0                                     
OGLE-GD-ECL-00096  CAR118.6   7839 nonEC   10:35:54.83 -63:17:43.8                                     
OGLE-GD-ECL-00097  CAR118.5   8266 EC      10:35:55.49 -63:07:13.8                                     
OGLE-GD-ECL-00098  CAR116.5  37221 nonEC   10:35:55.52 -62:27:37.5                                     
OGLE-GD-ECL-00099  CAR116.8  12790 EC      10:35:56.44 -63:00:05.0                                     
OGLE-GD-ECL-00100  CAR118.6     15 nonEC   10:35:56.48 -63:18:42.0                                     
OGLE-GD-ECL-00101  CAR118.7    168 EC      10:35:56.95 -63:29:30.5                                     
OGLE-GD-ECL-00102  CAR116.5  37140 EC      10:35:59.61 -62:28:17.4                                     
OGLE-GD-ECL-00103  CAR116.5  28149 nonEC   10:36:00.97 -62:29:42.3                                     
OGLE-GD-ECL-00104  CAR116.5   5261 EC      10:36:02.24 -62:34:01.5                                     
OGLE-GD-ECL-00105  CAR116.7   5353 EC      10:36:03.90 -62:53:22.9                                     
OGLE-GD-ECL-00106  CAR118.5   8829 EC      10:36:04.07 -63:08:56.8                                     
OGLE-GD-ECL-00107  CAR118.6    437 EC      10:36:05.49 -63:19:10.3                                     
