OGLE-SMC-RRLYR-0001  RRab  00:19:54.71 -74:42:04.2  SMC709.17.2320   SMC139.8.421                    
OGLE-SMC-RRLYR-0002  RRab  00:19:54.78 -74:33:30.7  SMC714.16.360    SMC139.7.194                    
OGLE-SMC-RRLYR-0003  RRab  00:20:17.07 -71:57:26.4  SMC707.30.5621   SMC140.6.43095                  
OGLE-SMC-RRLYR-0004  RRd   00:20:21.09 -74:46:56.1  SMC709.17.2420   SMC139.8.477                    
OGLE-SMC-RRLYR-0005  RRab  00:20:21.84 -74:22:59.7  SMC714.16.2570   SMC139.6.562                    
OGLE-SMC-RRLYR-0006  RRab  00:20:33.32 -74:43:58.1  SMC714.07.2787   SMC139.8.242                    
OGLE-SMC-RRLYR-0007  RRc   00:20:49.09 -74:27:20.2  SMC714.15.2692   SMC139.6.611                    
OGLE-SMC-RRLYR-0008  RRab  00:20:49.36 -72:03:09.6  SMC707.30.1417   SMC140.6.514                    
OGLE-SMC-RRLYR-0009  RRab  00:20:57.42 -72:12:04.3                   SMC140.7.524                    
OGLE-SMC-RRLYR-0010  RRab  00:20:59.69 -74:17:31.4  SMC714.24.469    SMC139.5.675                    
OGLE-SMC-RRLYR-0011  RRab  00:21:06.57 -71:56:37.6  SMC707.29.29930  SMC140.6.43373                  
OGLE-SMC-RRLYR-0012  RRab  00:21:23.97 -72:15:33.7  SMC707.21.7069   SMC140.8.9103                   
OGLE-SMC-RRLYR-0013  RRab  00:21:38.71 -74:43:38.0  SMC714.07.2813   SMC139.8.350                    
OGLE-SMC-RRLYR-0014  RRab  00:21:49.88 -73:32:51.5  SMC708.19.4690   SMC135.8.740                    
OGLE-SMC-RRLYR-0015  RRab  00:21:51.39 -73:44:24.6  SMC708.19.485    SMC138.5.632                    
OGLE-SMC-RRLYR-0016  RRab  00:21:51.44 -72:10:49.9  SMC707.29.2614   SMC140.7.2598                   
OGLE-SMC-RRLYR-0017  RRd   00:21:54.58 -73:35:16.9  SMC708.19.4187   SMC135.8.10                     AR Tuc
OGLE-SMC-RRLYR-0018  RRab  00:21:57.38 -73:56:07.1  SMC714.32.978    SMC138.7.1118                   
OGLE-SMC-RRLYR-0019  RRab  00:22:01.94 -73:14:48.6  SMC708.27.3792   SMC135.6.253                    
OGLE-SMC-RRLYR-0020  RRc   00:22:02.44 -74:44:01.3  SMC714.07.2795   SMC139.8.1884                   
OGLE-SMC-RRLYR-0021  RRc   00:22:12.74 -74:42:39.9  SMC714.07.3050   SMC139.8.1897                   
OGLE-SMC-RRLYR-0022  RRab  00:22:18.37 -74:38:54.0  SMC714.15.242    SMC139.7.2049                   
OGLE-SMC-RRLYR-0023  RRab  00:22:20.23 -74:31:44.4  SMC714.15.437    SMC139.7.1797                   
OGLE-SMC-RRLYR-0024  RRd   00:22:29.82 -74:02:39.3  SMC708.10.826    SMC138.7.712                    
OGLE-SMC-RRLYR-0025  RRab  00:22:31.32 -74:47:16.0  SMC714.07.2703   SMC139.8.1695                   
OGLE-SMC-RRLYR-0026  RRc   00:22:32.80 -71:59:30.9  SMC707.29.32137  SMC140.6.50836                  
OGLE-SMC-RRLYR-0027  RRab  00:22:33.36 -72:13:49.6  SMC707.21.5925   SMC140.7.8047                   
OGLE-SMC-RRLYR-0028  RRc   00:22:36.94 -74:03:25.2                   SMC138.7.737                    
OGLE-SMC-RRLYR-0029  RRab  00:22:41.93 -74:05:11.9  SMC714.24.3788   SMC138.8.647                    
OGLE-SMC-RRLYR-0030  RRab  00:22:43.84 -71:57:20.6  SMC707.29.29783  SMC140.6.49841                  
OGLE-SMC-RRLYR-0031  RRab  00:22:44.03 -71:51:42.4  SMC706.06.1673   SMC140.5.3642                   
OGLE-SMC-RRLYR-0032  RRc   00:22:47.79 -72:59:33.2  SMC707.04.3465   SMC136.8.541                    
OGLE-SMC-RRLYR-0033  RRab  00:22:47.82 -74:19:02.7  SMC708.02.828    SMC139.5.3066                   
OGLE-SMC-RRLYR-0034  RRab  00:22:49.77 -73:27:41.6                   SMC135.7.870                    
OGLE-SMC-RRLYR-0035  RRc   00:22:53.42 -73:28:58.9                   SMC135.8.506                    
OGLE-SMC-RRLYR-0036  RRab  00:22:59.84 -72:33:45.0                   SMC136.5.857                    
OGLE-SMC-RRLYR-0037  RRd   00:23:02.75 -73:56:23.9  SMC708.09.753    SMC138.7.826                    
OGLE-SMC-RRLYR-0038  RRab  00:23:07.33 -73:26:11.6                   SMC135.7.930                    
OGLE-SMC-RRLYR-0039  RRab  00:23:08.07 -73:44:36.1  SMC708.18.496    SMC138.5.950                    
OGLE-SMC-RRLYR-0040  RRc   00:23:08.28 -74:10:47.0  SMC714.23.4113   SMC138.8.747                    
OGLE-SMC-RRLYR-0041  RRab  00:23:11.97 -72:52:14.1  SMC707.03.3771   SMC136.7.970                    
OGLE-SMC-RRLYR-0042  RRab  00:23:16.69 -73:05:52.7  SMC707.03.360    SMC135.5.442                    
OGLE-SMC-RRLYR-0043  RRab  00:23:19.37 -74:17:34.6  SMC714.23.505    SMC139.5.3167                   
OGLE-SMC-RRLYR-0044  RRab  00:23:23.76 -72:03:05.4  SMC707.28.27212  SMC140.6.28104                  
OGLE-SMC-RRLYR-0045  RRab  00:23:25.25 -72:19:35.9  SMC707.20.9087   SMC140.8.4789                   
OGLE-SMC-RRLYR-0046  RRab  00:23:26.33 -73:47:59.9  SMC714.31.5430   SMC138.6.4482                   
OGLE-SMC-RRLYR-0047  RRab  00:23:27.36 -73:13:45.9  SMC708.26.3957   SMC135.6.495                    
OGLE-SMC-RRLYR-0048  RRab  00:23:32.35 -74:02:15.2  SMC714.31.393    SMC138.7.4415                   
OGLE-SMC-RRLYR-0049  RRab  00:23:34.36 -73:53:22.9  SMC714.31.5104   SMC138.6.4515                   
OGLE-SMC-RRLYR-0050  RRc   00:23:40.44 -73:02:46.9  SMC707.03.471    SMC135.5.512                    
