OGLE-SMC-ECL-0001   ED   00:21:04.87 -74:07:32.2  SMC708.02.3611   SMC138.8.159    -                   
OGLE-SMC-ECL-0002   ED   00:21:20.30 -74:01:13.7  SMC708.10.904    SMC138.7.981    -                   
OGLE-SMC-ECL-0003   ED   00:21:22.13 -74:25:22.5  SMC714.15.2177   SMC139.6.153    -                   
OGLE-SMC-ECL-0004   ED   00:21:22.25 -74:17:52.6  SMC708.02.896    SMC139.5.724    -                   
OGLE-SMC-ECL-0005   ED   00:21:23.84 -74:04:50.6  SMC708.02.4036   SMC138.8.392    -                   
OGLE-SMC-ECL-0006   ED   00:21:27.49 -74:02:29.7  SMC708.10.843    SMC138.7.1005   -                   
OGLE-SMC-ECL-0007   ED   00:21:36.70 -73:46:45.1  SMC708.10.3718   SMC138.6.105    -                   
OGLE-SMC-ECL-0008   ED   00:21:43.56 -74:29:30.6  SMC714.15.2142   SMC139.6.86     -                   
OGLE-SMC-ECL-0009   ED   00:21:45.38 -74:00:57.5  SMC708.10.920    SMC138.7.1077   -                   
OGLE-SMC-ECL-0010   ED   00:22:01.64 -74:32:32.7  SMC714.15.41     SMC139.7.90     -                   
OGLE-SMC-ECL-0011   ED   00:22:18.29 -73:25:39.7  SMC708.27.371    SMC135.7.332    -                   
OGLE-SMC-ECL-0012   ED   00:22:27.98 -72:07:46.5  SMC707.29.7058   SMC140.7.37261  -                   
OGLE-SMC-ECL-0013   ED   00:22:30.11 -74:23:35.5  SMC714.15.2517   SMC139.6.2285   -                   
OGLE-SMC-ECL-0014   ED   00:22:30.49 -74:00:26.2  SMC708.10.498    SMC138.7.715    -                   
OGLE-SMC-ECL-0015   ED   00:22:38.91 -73:16:58.8  SMC708.27.11     SMC135.6.17     -                   
OGLE-SMC-ECL-0016   ED   00:22:42.14 -73:44:06.8  SMC708.19.1781   SMC138.5.1403   -                   
OGLE-SMC-ECL-0017   ED   00:22:51.25 -73:46:16.6  SMC708.10.4323   SMC138.6.795    -                   
OGLE-SMC-ECL-0018   ED   00:22:53.13 -73:24:47.1  SMC708.26.756    SMC135.7.883    -                   
OGLE-SMC-ECL-0019   ED   00:22:55.52 -73:53:16.5  SMC708.10.3991   SMC138.6.145    -                   
OGLE-SMC-ECL-0020   ED   00:22:55.55 -72:05:15.3  SMC707.29.1805   SMC140.7.34595  -                   
OGLE-SMC-ECL-0021   ED   00:22:56.27 -73:54:17.1  SMC714.32.1046   SMC138.6.828    -                   
OGLE-SMC-ECL-0022   ED   00:23:00.01 -73:38:30.6  SMC708.18.861    SMC138.5.907    -                   
OGLE-SMC-ECL-0023   ED   00:23:07.75 -73:41:51.3  SMC708.18.1266   SMC138.5.1550   -                   
OGLE-SMC-ECL-0024   EC   00:23:24.08 -73:31:55.6  SMC708.18.5238   SMC135.8.47     -                   
OGLE-SMC-ECL-0025   ED   00:23:25.80 -74:22:36.3  -                SMC139.6.2461   -                   
OGLE-SMC-ECL-0026   ED   00:23:29.66 -74:24:11.0  SMC714.14.2783   SMC139.6.2166   -                   
OGLE-SMC-ECL-0027   ED   00:23:33.86 -71:55:26.4  SMC707.28.86338  SMC140.5.6542   -                   
OGLE-SMC-ECL-0028   ED   00:23:33.95 -74:23:13.3  SMC714.14.2796   SMC139.6.2491   -                   
OGLE-SMC-ECL-0029   ED   00:23:34.41 -73:59:28.4  SMC708.09.588    SMC138.7.4424   -                   
