OGLE-BLG-RRLYR-00054  BLG332.7  67142 RRab  17:09:00.57 -33:04:13.2                                             
OGLE-BLG-RRLYR-00055  BLG332.5  99845 RRab  17:09:00.90 -32:42:51.0                                             
OGLE-BLG-RRLYR-00056  BLG365.7  75502 RRab  17:09:02.63 -32:02:42.9                                             
OGLE-BLG-RRLYR-00057  BLG365.5  50022 RRc   17:09:03.51 -31:46:50.6                                             
OGLE-BLG-RRLYR-00058  BLG365.7  17301 RRab  17:09:03.59 -32:07:45.3                                             
OGLE-BLG-RRLYR-00059  BLG365.5  49963 RRab  17:09:04.99 -31:46:20.2                                             
OGLE-BLG-RRLYR-00060  BLG365.8  80343 RRab  17:09:06.04 -32:12:53.6                                             
OGLE-BLG-RRLYR-00061  BLG365.7 107437 RRab  17:09:07.41 -32:01:45.5                                             
OGLE-BLG-RRLYR-00062  BLG365.5  22924 RRab  17:09:08.49 -31:49:50.8                                             
OGLE-BLG-RRLYR-00063  BLG365.7  50715 RRab  17:09:08.76 -32:05:57.2                                             
OGLE-BLG-RRLYR-00064  BLG332.6 103048 RRab  17:09:10.61 -32:52:13.4                                             
OGLE-BLG-RRLYR-00065  BLG365.5  54025 RRc   17:09:10.66 -31:47:35.1                                             
OGLE-BLG-RRLYR-00066  BLG332.5 103393 RRab  17:09:13.07 -32:43:19.2                                             
OGLE-BLG-RRLYR-00067  BLG332.5 103398 RRab  17:09:13.42 -32:43:12.5                                             
OGLE-BLG-RRLYR-00068  BLG332.7  71097 RRab  17:09:15.01 -33:02:22.2                                             
OGLE-BLG-RRLYR-00069  BLG365.8  88279 RRab  17:09:18.36 -32:12:20.2                                             
OGLE-BLG-RRLYR-00070  BLG332.5  10665 RRab  17:09:19.24 -32:49:19.6                                             
OGLE-BLG-RRLYR-00071  BLG365.7 111159 RRc   17:09:20.38 -32:00:54.6                                             
OGLE-BLG-RRLYR-00072  BLG365.5  57984 RRab  17:09:21.31 -31:47:24.6                                             
OGLE-BLG-RRLYR-00073  BLG365.7 111123 RRab  17:09:23.04 -32:01:25.4                                             
OGLE-BLG-RRLYR-00074  BLG332.6  76878 RRab  17:09:23.75 -32:53:14.2                                             
OGLE-BLG-RRLYR-00075  BLG332.5  44913 RRc   17:09:26.21 -32:48:07.9                                             
