OGLE-GD-DSCT-0060  CAR116.5   7705    rad+nrad  10:36:27.08 -62:35:08.1
OGLE-GD-DSCT-0061  CAR116.2  30884    rad+nrad  10:37:43.31 -62:46:50.9
OGLE-GD-DSCT-0062  CAR115.6  12025    rad+nrad  10:38:51.55 -62:04:49.6
OGLE-GD-DSCT-0063  CAR118.4   1153    rad+nrad  10:39:00.95 -63:11:04.0
OGLE-GD-DSCT-0064  CAR110.7  13663    rad+nrad  10:40:31.51 -61:39:58.0
OGLE-GD-DSCT-0065  CEN106.6   8162    rad+nrad  11:31:35.92 -60:47:45.1
OGLE-GD-DSCT-0066  CEN106.2  38514    rad+nrad  11:33:28.13 -60:53:44.1
OGLE-GD-DSCT-0067  CEN107.2  26501    rad+nrad  11:55:39.22 -62:05:11.6
OGLE-GD-DSCT-0068  CEN107.4  32037    rad+nrad  11:56:12.94 -61:47:44.7
OGLE-GD-DSCT-0069  CEN108.6  93566    rad+nrad  13:31:32.10 -64:06:46.4
OGLE-GD-DSCT-0070  CEN108.4  43244    rad+nrad  13:34:43.73 -64:02:48.1
OGLE-GD-DSCT-0071  MUS101.3  34906    1O/2O/3O  13:26:16.46 -64:55:40.0
