OGLE-SMC-LPV-00055  SMC135.5     15  OSARG O  00:22:01.60 -73:05:41.9                                      
OGLE-SMC-LPV-00056  SMC138.7     11  OSARG O  00:22:02.42 -74:02:27.0                                      
OGLE-SMC-LPV-00057  SMC139.5     17  OSARG O  00:22:03.90 -74:16:51.7                                      
OGLE-SMC-LPV-00058  SMC140.8   8624  OSARG O  00:22:04.00 -72:18:24.2                                      
OGLE-SMC-LPV-00059  SMC139.7   1568  OSARG O  00:22:04.82 -74:33:39.8                                      
OGLE-SMC-LPV-00060  SMC135.7      4  SRV   C  00:22:04.88 -73:28:17.9                                      
OGLE-SMC-LPV-00061  SMC135.5     16  OSARG O  00:22:07.39 -73:02:10.5                                      
OGLE-SMC-LPV-00062  SMC139.6   1956  OSARG O  00:22:07.46 -74:22:12.1                                      
OGLE-SMC-LPV-00063  SMC135.7     33  OSARG O  00:22:08.33 -73:21:30.0                                      
OGLE-SMC-LPV-00064  SMC138.8     26  OSARG O  00:22:09.45 -74:11:29.9                                      
OGLE-SMC-LPV-00065  SMC138.6     26  OSARG O  00:22:09.95 -73:49:32.3                                      
OGLE-SMC-LPV-00066  SMC140.6  45073  SRV   O  00:22:11.46 -71:59:17.9                                      
OGLE-SMC-LPV-00067  SMC140.6  45074  OSARG O  00:22:12.37 -71:57:17.6                                      
OGLE-SMC-LPV-00068  SMC135.8     32  OSARG O  00:22:12.55 -73:36:58.0                                      
OGLE-SMC-LPV-00069  SMC138.8     27  OSARG O  00:22:13.92 -74:07:07.0                                      
OGLE-SMC-LPV-00070  SMC135.8      1  OSARG O  00:22:14.50 -73:32:33.2                                      
OGLE-SMC-LPV-00071  SMC140.6   6886  OSARG O  00:22:16.66 -72:03:56.1                                      
OGLE-SMC-LPV-00072  SMC135.7     38  OSARG O  00:22:16.68 -73:22:31.5                                      
OGLE-SMC-LPV-00073  SMC140.7   6000  OSARG O  00:22:17.26 -72:12:04.7                                      
OGLE-SMC-LPV-00074  SMC135.8     11  SRV   O  00:22:17.90 -73:34:42.5                                      
OGLE-SMC-LPV-00075  SMC140.7  33657  OSARG O  00:22:19.87 -72:08:56.8                                      
OGLE-SMC-LPV-00076  SMC138.6     12  OSARG O  00:22:20.52 -73:47:29.6                                      
OGLE-SMC-LPV-00077  SMC135.8     12  OSARG O  00:22:23.15 -73:33:45.7                                      
OGLE-SMC-LPV-00078  SMC135.5     10  OSARG O  00:22:24.54 -73:08:43.7                                      
OGLE-SMC-LPV-00079  SMC140.8  11156  OSARG O  00:22:25.59 -72:16:52.4                                      
OGLE-SMC-LPV-00080  SMC135.6     15  OSARG O  00:22:27.32 -73:14:42.6                                      
OGLE-SMC-LPV-00081  SMC135.5     24  OSARG O  00:22:28.32 -73:09:02.7                                      
OGLE-SMC-LPV-00082  SMC135.8     13  OSARG O  00:22:29.30 -73:34:55.8                                      
OGLE-SMC-LPV-00083  SMC138.7     34  OSARG O  00:22:29.95 -74:01:50.2                                      
OGLE-SMC-LPV-00084  SMC135.5      3  OSARG O  00:22:30.17 -73:03:16.6                                      
OGLE-SMC-LPV-00085  SMC135.8      3  OSARG C  00:22:33.93 -73:31:01.1                                      
OGLE-SMC-LPV-00086  SMC138.6     14  OSARG C  00:22:34.18 -73:46:14.4                                      
OGLE-SMC-LPV-00087  SMC135.8     37  OSARG O  00:22:34.26 -73:29:47.2                                      
OGLE-SMC-LPV-00088  SMC135.5     26  OSARG O  00:22:36.88 -73:09:39.4                                      
OGLE-SMC-LPV-00089  SMC135.7     18  SRV   O  00:22:38.35 -73:21:11.1                                      
OGLE-SMC-LPV-00090  SMC135.8     14  SRV   O  00:22:38.60 -73:35:57.0                                      
OGLE-SMC-LPV-00091  SMC138.6     31  OSARG O  00:22:39.92 -73:54:10.9                                      
OGLE-SMC-LPV-00092  SMC135.8      4  SRV   C  00:22:40.78 -73:32:47.1                                      
OGLE-SMC-LPV-00093  SMC135.5     11  OSARG O  00:22:44.14 -73:07:30.1                                      
OGLE-SMC-LPV-00094  SMC135.7     43  OSARG O  00:22:44.16 -73:23:59.9                                      
OGLE-SMC-LPV-00095  SMC138.7     35  OSARG O  00:22:44.52 -73:56:50.8                                      
OGLE-SMC-LPV-00096  SMC139.6   1972  OSARG O  00:22:44.95 -74:29:35.8                                      
OGLE-SMC-LPV-00097  SMC140.8   2404  OSARG O  00:22:45.55 -72:21:29.3                                      
OGLE-SMC-LPV-00098  SMC140.7  33846  OSARG O  00:22:46.78 -72:05:29.8                                      
OGLE-SMC-LPV-00099  SMC138.6     34  OSARG O  00:22:47.05 -73:48:16.7                                      
OGLE-SMC-LPV-00100  SMC135.8      5  SRV   C  00:22:49.18 -73:36:40.6                                      
OGLE-SMC-LPV-00101  SMC135.5      4  SRV   C  00:22:49.40 -73:03:50.2                                      
OGLE-SMC-LPV-00102  SMC135.5     30  OSARG O  00:22:50.72 -73:08:40.5                                      
OGLE-SMC-LPV-00103  SMC135.8     15  OSARG O  00:22:52.63 -73:31:47.6                                      
OGLE-SMC-LPV-00104  SMC140.7   6021  OSARG O  00:22:52.71 -72:10:57.5                                      
OGLE-SMC-LPV-00105  SMC135.8     16  OSARG O  00:22:53.36 -73:33:23.7                                      
OGLE-SMC-LPV-00106  SMC136.6     14  OSARG O  00:22:53.61 -72:41:36.2                                      
OGLE-SMC-LPV-00107  SMC135.8     17  OSARG O  00:22:53.94 -73:34:17.0                                      
OGLE-SMC-LPV-00108  SMC138.5     32  SRV   O  00:22:54.89 -73:39:43.6                                      
OGLE-SMC-LPV-00109  SMC135.7     21  OSARG O  00:22:55.37 -73:27:00.4                                      
OGLE-SMC-LPV-00110  SMC135.7     46  OSARG O  00:22:56.19 -73:24:14.0                                      
OGLE-SMC-LPV-00111  SMC136.8      5  OSARG O  00:22:56.81 -72:59:33.3                                      
OGLE-SMC-LPV-00112  SMC138.8     35  OSARG O  00:22:56.85 -74:07:12.5                                      
OGLE-SMC-LPV-00113  SMC139.7   1596  OSARG O  00:22:57.62 -74:39:23.2                                      
OGLE-SMC-LPV-00114  SMC139.6   1973  OSARG O  00:22:58.06 -74:28:08.3                                      
OGLE-SMC-LPV-00115  SMC139.8   1489  OSARG C  00:22:58.40 -74:46:02.1                                      
OGLE-SMC-LPV-00116  SMC140.6   7079  OSARG O  00:22:59.33 -72:03:41.2                                      
OGLE-SMC-LPV-00117  SMC135.6     40  OSARG O  00:22:59.81 -73:18:53.9                                      
OGLE-SMC-LPV-00118  SMC138.5     35  Mira  C  00:23:00.05 -73:40:05.7                                      
OGLE-SMC-LPV-00119  SMC136.7     11  OSARG O  00:23:00.38 -72:47:08.7                                      
OGLE-SMC-LPV-00120  SMC136.6     16  SRV   C  00:23:01.12 -72:40:46.5                                      
OGLE-SMC-LPV-00121  SMC136.7      2  SRV   C  00:23:01.58 -72:50:57.5                                      
OGLE-SMC-LPV-00122  SMC135.7     49  OSARG O  00:23:02.48 -73:20:46.2                                      
OGLE-SMC-LPV-00123  SMC135.8      6  OSARG O  00:23:03.07 -73:32:29.7                                      
OGLE-SMC-LPV-00124  SMC138.5     37  OSARG O  00:23:03.25 -73:38:56.7                                      
OGLE-SMC-LPV-00125  SMC139.7   1577  OSARG O  00:23:04.95 -74:34:19.1                                      
OGLE-SMC-LPV-00126  SMC136.6     36  OSARG O  00:23:05.02 -72:35:27.5                                      
OGLE-SMC-LPV-00127  SMC136.6      1  OSARG O  00:23:05.62 -72:37:30.9                                      
