OGLE-BLG-ACV-001  BLG130.2 137067  17:47:44.92 -34:16:15.2
OGLE-BLG-ACV-002  BLG183.4 156561  18:01:43.65 -30:24:54.0
OGLE-BLG-ACV-003  BLG249.1 133775  18:06:07.50 -26:05:08.5
