OGLE-LMC-DSCT-0060 LMC149.7   8029 SINGLEMODE 04:39:54.18 -69:19:52.5 
OGLE-LMC-DSCT-0061 LMC150.1   3234 SINGLEMODE 04:40:06.39 -70:00:01.0 
OGLE-LMC-DSCT-0062 LMC148.6   8769 SINGLEMODE 04:40:16.85 -68:36:07.6 
OGLE-LMC-DSCT-0063 LMC147.5   3037 SINGLEMODE 04:40:17.41 -67:53:40.5 
OGLE-LMC-DSCT-0064 LMC148.5   8727 SINGLEMODE 04:40:22.35 -68:27:34.3 
OGLE-LMC-DSCT-0065 LMC148.7  10653 SINGLEMODE 04:40:26.78 -68:46:48.5 
OGLE-LMC-DSCT-0066 LMC150.2   1955 SINGLEMODE 04:40:43.51 -69:53:59.3 
OGLE-LMC-DSCT-0067 LMC148.8  10885 SINGLEMODE 04:40:54.51 -68:53:35.9 
OGLE-LMC-DSCT-0068 LMC145.8    644 SINGLEMODE 04:40:55.74 -67:03:08.2 
OGLE-LMC-DSCT-0069 LMC146.5   2181 SINGLEMODE 04:41:02.94 -67:13:14.9 
OGLE-LMC-DSCT-0070 LMC144.7   2115 SINGLEMODE 04:41:13.48 -70:30:36.0 
OGLE-LMC-DSCT-0071 LMC148.3   2726 SINGLEMODE 04:41:13.97 -68:36:24.2 
OGLE-LMC-DSCT-0072 LMC149.3   5214 SINGLEMODE 04:41:19.51 -69:13:53.6 
OGLE-LMC-DSCT-0073 LMC150.3   8933 SINGLEMODE 04:41:21.55 -69:47:45.0 
OGLE-LMC-DSCT-0074 LMC150.3  14447 SINGLEMODE 04:41:48.96 -69:49:01.0 
OGLE-LMC-DSCT-0075 LMC148.2   4278 SINGLEMODE 04:41:53.56 -68:41:36.6 
OGLE-LMC-DSCT-0076 LMC147.1   2573 SINGLEMODE 04:42:15.27 -68:19:55.6 
OGLE-LMC-DSCT-0077 LMC143.5   2887 SINGLEMODE 04:42:28.17 -69:35:27.1 
OGLE-LMC-DSCT-0078 LMC145.6   3418 SINGLEMODE 04:42:31.09 -66:51:11.1 
OGLE-LMC-DSCT-0079 LMC147.1   3276 SINGLEMODE 04:42:36.10 -68:15:23.5 
OGLE-LMC-DSCT-0080 LMC146.5   6821 SINGLEMODE 04:42:51.18 -67:12:56.6 
OGLE-LMC-DSCT-0081 LMC148.3  11055 SINGLEMODE 04:43:10.65 -68:30:33.9 
OGLE-LMC-DSCT-0082 LMC142.6   4224 SINGLEMODE 04:43:21.32 -69:11:37.0 
OGLE-LMC-DSCT-0083 LMC145.5   2861 SINGLEMODE 04:43:36.08 -66:43:44.0 
OGLE-LMC-DSCT-0084 LMC148.2  12316 SINGLEMODE 04:43:37.66 -68:44:33.7 
OGLE-LMC-DSCT-0085 LMC146.1   5364 SINGLEMODE 04:43:57.27 -67:42:10.8 
OGLE-LMC-DSCT-0086 LMC141.6   3205 SINGLEMODE 04:44:16.71 -68:34:07.3 
OGLE-LMC-DSCT-0087 LMC145.4   1893 SINGLEMODE 04:44:21.84 -66:37:07.5 
OGLE-LMC-DSCT-0088 LMC141.5    286 SINGLEMODE 04:44:23.47 -68:22:03.1 
OGLE-LMC-DSCT-0089 LMC142.5    129 SINGLEMODE 04:44:27.26 -69:03:07.4 
OGLE-LMC-DSCT-0090 LMC141.8   4124 SINGLEMODE 04:44:40.82 -68:57:04.0 
OGLE-LMC-DSCT-0091 LMC143.8   9673 SINGLEMODE 04:44:47.68 -70:05:14.4 
OGLE-LMC-DSCT-0092 LMC141.5   5346 SINGLEMODE 04:45:12.00 -68:28:58.8 
OGLE-LMC-DSCT-0093 LMC143.5  10794 SINGLEMODE 04:45:17.54 -69:40:54.2 
OGLE-LMC-DSCT-0094 LMC143.8  10058 SINGLEMODE 04:45:19.94 -70:05:23.7 
OGLE-LMC-DSCT-0095 LMC140.6   2020 SINGLEMODE 04:45:22.57 -68:02:14.5 
OGLE-LMC-DSCT-0096 LMC146.2  10396 SINGLEMODE 04:45:28.45 -67:29:37.8 
OGLE-LMC-DSCT-0097 LMC145.2   5750 SINGLEMODE 04:45:52.64 -66:58:49.6 
