OGLE-LMC-ECL-00050  ED   04:34:33.89 -69:38:55.9  LMC538.23.7074   LMC157.4.3987   -                   
OGLE-LMC-ECL-00051  ED   04:34:37.30 -68:37:28.7  LMC547.01.1832   LMC155.6.4627   -                   
OGLE-LMC-ECL-00052  ED   04:34:39.15 -67:35:15.3  LMC547.26.3422   LMC153.7.418    -                   
OGLE-LMC-ECL-00053  ED   04:34:39.55 -70:07:20.8  LMC538.14.748    LMC157.1.3516   -                   
OGLE-LMC-ECL-00054  ED   04:34:41.85 -68:40:05.1  LMC547.01.695    LMC155.7.4702   -                   
OGLE-LMC-ECL-00055  ED   04:34:42.23 -70:43:15.2  LMC537.30.1067   LMC151.8.853    -                   
OGLE-LMC-ECL-00056  ED   04:34:44.76 -68:31:02.3  LMC547.01.4021   LMC155.6.3925   -                   
OGLE-LMC-ECL-00057  ED   04:34:48.05 -69:52:26.3  LMC538.23.642    LMC157.2.3963   -                   
OGLE-LMC-ECL-00058  ED   04:34:50.55 -68:21:24.7  LMC547.09.328    LMC154.8.3968   -                   
OGLE-LMC-ECL-00059  ED   04:34:51.12 -68:52:41.3  LMC539.15.377    LMC155.1.166    -                   
OGLE-LMC-ECL-00060  ED   04:34:52.33 -70:02:57.9  LMC538.14.6164   LMC157.1.3569   -                   
OGLE-LMC-ECL-00061  ED   04:34:53.70 -70:16:19.5  LMC538.06.6743   LMC151.5.1004   -                   
OGLE-LMC-ECL-00062  ED   04:34:55.51 -69:09:43.1  LMC539.07.524    LMC156.3.410    -                   
OGLE-LMC-ECL-00063  ED   04:35:05.47 -70:05:25.6  LMC538.14.805    LMC157.1.3151   -                   
OGLE-LMC-ECL-00064  ED   04:35:06.00 -69:11:19.7  LMC539.07.1523   LMC156.3.1386   -                   
OGLE-LMC-ECL-00065  ED   04:35:06.11 -70:09:09.5  LMC538.14.1192   LMC151.5.1050   -                   
OGLE-LMC-ECL-00066  ED   04:35:08.05 -69:46:17.7  LMC538.23.842    LMC157.3.3440   -                   
OGLE-LMC-ECL-00067  ED   04:35:09.39 -70:19:37.3  LMC538.06.5655   LMC151.6.319    -                   
OGLE-LMC-ECL-00068  ED   04:35:10.11 -68:28:26.8  LMC547.01.4628   LMC155.4.903    -                   
OGLE-LMC-ECL-00069  ED   04:35:16.07 -69:53:32.3  LMC538.23.985    LMC157.2.4056   -                   
OGLE-LMC-ECL-00070  ED   04:35:17.02 -68:04:56.0  LMC547.09.3844   LMC154.7.3454   -                   
OGLE-LMC-ECL-00071  EC   04:35:17.18 -69:41:44.8  LMC538.23.6240   LMC157.3.2893   -                   
OGLE-LMC-ECL-00072  ED   04:35:17.37 -67:00:11.9  LMC548.10.54     LMC152.7.30     -                   
OGLE-LMC-ECL-00073  ED   04:35:22.07 -69:37:06.8  LMC538.23.6424   LMC157.4.3378   -                   
